AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
Acton CDP,"3,600","3,400",200,5.60%,0.000705,0.001004
Agoura Hills city,"11,500","11,100",400,3.80%,N/A,N/A
Alhambra city,"46,100","44,600","1,600",3.40%,N/A,N/A
Alondra Park CDP,"3,600","3,400",200,5.00%,0.000711,0.000891
Altadena CDP,"23,800","23,000",700,3.00%,0.004749,0.003538
Arcadia city,"29,500","28,700",900,3.00%,N/A,N/A
Artesia city,"8,000","7,800",200,2.40%,0.001606,0.000947
Avalon city,"2,000","2,000",0,1.10%,0.00041,0.000113
Avocado Heights CDP,"7,700","7,300",400,5.00%,0.001507,0.001895
Azusa city,"24,800","23,900","1,000",3.80%,N/A,N/A
Baldwin Park city,"34,300","32,900","1,400",4.00%,N/A,N/A
Bell city,"14,900","14,300",600,4.20%,N/A,N/A
Bell Gardens city,"18,000","17,300",700,3.80%,N/A,N/A
Bellflower city,"36,200","34,600","1,600",4.50%,N/A,N/A
Beverly Hills city,"18,200","17,600",600,3.30%,N/A,N/A
Bradbury city,500,500,0,2.60%,0.000101,0.000064
Burbank city,"59,000","56,200","2,800",4.80%,N/A,N/A
Calabasas city,"12,200","11,900",300,2.60%,0.002456,0.001592
Carson city,"45,900","43,800","2,000",4.50%,N/A,N/A
Cerritos city,"25,300","24,500",800,3.30%,N/A,N/A
Charter Oak CDP,"4,700","4,500",200,4.70%,0.000928,0.00109
Citrus CDP,"5,400","5,200",200,3.70%,0.001076,0.000987
Claremont city,"16,700","16,200",600,3.40%,N/A,N/A
Commerce city,"6,000","5,600",300,5.80%,0.001157,0.00169
Compton city,"38,900","36,800","2,100",5.40%,N/A,N/A
Covina city,"24,000","22,900","1,100",4.50%,N/A,N/A
Cudahy city,"10,000","9,600",400,3.80%,N/A,N/A
Culver City city,"22,800","21,900",900,4.00%,N/A,N/A
Del Aire CDP,"5,700","5,500",200,3.80%,0.001123,0.001048
Desert View Highlands CDP,"1,000",900,100,5.70%,0.000189,0.000273
Diamond Bar city,"30,200","29,200","1,000",3.20%,N/A,N/A
Downey city,"56,900","54,800","2,100",3.60%,N/A,N/A
Duarte city,"11,100","10,600",500,4.60%,0.002185,0.002495
East Los Angeles CDP,"56,800","53,000","3,800",6.60%,0.010929,0.018579
East Pasadena CDP,"3,200","3,100",100,2.00%,0.000641,0.000317
East San Gabriel CDP,"7,700","7,600",100,1.20%,0.001559,0.000465
El Monte city,"51,100","49,200","1,900",3.70%,N/A,N/A
El Segundo city,"9,600","9,300",300,3.30%,0.00191,0.001538
Florence Graham CDP,"27,100","25,600","1,500",5.40%,0.005282,0.007182
Gardena city,"30,100","28,900","1,200",4.10%,N/A,N/A
Glendale city,"103,000","99,100","3,900",3.80%,N/A,N/A
Glendora city,"25,900","25,000",900,3.50%,N/A,N/A
Hacienda Heights CDP,"26,000","25,200",800,3.00%,0.005193,0.003846
Hawaiian Gardens city,"6,000","5,700",300,5.40%,0.001164,0.00158
Hawthorne city,"44,600","42,800","1,800",4.10%,N/A,N/A
Hermosa Beach city,"12,600","12,300",200,1.90%,0.002541,0.001156
Hidden Hills city,600,600,0,3.20%,0.000123,0.000101
Huntington Park city,"26,500","25,400","1,100",4.10%,N/A,N/A
Industry city,200,100,0,6.50%,0.00003,0.000049
Inglewood city,"52,500","49,900","2,600",4.90%,N/A,N/A
Irwindale city,600,600,0,6.10%,0.000121,0.000189
La Canada Flintridge city,"9,600","9,500",200,1.70%,0.00195,0.000816
La Crescenta Montrose CDP,"10,200","10,000",300,2.50%,0.002056,0.001243
La Habra Heights city,"2,500","2,400",0,1.90%,0.000502,0.000231
La Mirada city,"24,100","23,200",900,3.60%,N/A,N/A
La Puente city,"19,000","18,200",800,4.10%,N/A,N/A
La Verne city,"16,000","15,400",600,3.80%,N/A,N/A
Ladera Heights CDP,"3,500","3,400",200,4.80%,0.000695,0.000834
Lake Los Angeles CDP,"3,900","3,600",300,7.40%,0.000747,0.001434
Lakewood city,"42,800","41,200","1,600",3.80%,N/A,N/A
Lancaster city,"64,500","60,700","3,800",5.80%,N/A,N/A
Lawndale city,"16,500","15,900",600,3.60%,N/A,N/A
Lennox CDP,"10,500","10,000",500,5.00%,0.002052,0.002586
Littlerock CDP,500,500,0,5.70%,0.000098,0.000145
Lomita city,"11,400","11,000",400,3.40%,0.00227,0.001934
Long Beach city,"236,100","226,700","9,500",4.00%,N/A,N/A
Los Angeles city,"2,048,300","1,965,000","83,300",4.10%,N/A,N/A
Lynwood city,"28,200","27,000","1,200",4.40%,N/A,N/A
Malibu city,"6,500","6,400",200,2.40%,0.001312,0.000785
Manhattan Beach city,"19,700","19,100",600,2.90%,N/A,N/A
Marina del Rey CDP,"7,000","6,800",200,2.60%,0.001411,0.000908
Mayflower Village CDP,"3,100","3,000",100,2.90%,0.000614,0.00044
Maywood city,"12,300","11,900",500,3.70%,N/A,N/A
Monrovia city,"20,800","20,100",700,3.20%,N/A,N/A
Montebello city,"28,700","27,500","1,200",4.20%,N/A,N/A
Monterey Park city,"29,300","28,200","1,000",3.50%,N/A,N/A
North El Monte CDP,"1,800","1,800",0,1.80%,0.00037,0.000157
Norwalk city,"50,100","48,100","2,000",4.00%,N/A,N/A
Palmdale city,"63,800","60,200","3,600",5.60%,N/A,N/A
Palos Verdes Estates city,"5,700","5,600",100,1.70%,0.001152,0.00047
Paramount city,"24,500","23,400","1,100",4.30%,N/A,N/A
Pasadena city,"78,800","75,900","2,800",3.60%,N/A,N/A
Pico Rivera city,"30,200","28,900","1,300",4.30%,N/A,N/A
Pomona city,"67,200","64,400","2,900",4.30%,N/A,N/A
Quartz Hill CDP,"4,200","4,000",200,4.10%,0.000826,0.000837
Rancho Palos Verdes city,"19,500","18,900",600,3.10%,N/A,N/A
Redondo Beach city,"41,200","39,800","1,400",3.40%,N/A,N/A
Rolling Hills city,600,600,0,3.50%,0.000119,0.000103
Rolling Hills Estates city,"3,500","3,400",100,2.10%,0.000699,0.000359
Rosemead city,"24,900","24,000",900,3.60%,N/A,N/A
Rowland Heights CDP,"24,600","23,900",600,2.60%,0.004932,0.003196
San Dimas city,"17,800","17,200",600,3.50%,N/A,N/A
San Fernando city,"11,600","11,200",500,4.20%,0.002299,0.002394
San Gabriel city,"21,300","20,600",700,3.20%,N/A,N/A
San Marino city,"5,600","5,500",100,1.90%,0.001134,0.000517
Santa Clarita city,"111,900","107,700","4,200",3.80%,N/A,N/A
Santa Fe Springs city,"8,300","8,100",200,2.50%,0.001663,0.001041
Santa Monica city,"56,200","54,000","2,200",4.00%,N/A,N/A
Sierra Madre city,"5,800","5,600",200,3.20%,0.001154,0.000915
Signal Hill city,"6,200","6,000",200,3.30%,0.001245,0.001014
South El Monte city,"9,200","8,900",300,3.50%,0.001826,0.001604
South Gate city,"42,400","40,700","1,700",4.10%,N/A,N/A
South Pasadena city,"14,800","14,400",500,3.30%,N/A,N/A
South San Gabriel CDP,"4,100","4,000",100,3.00%,0.000816,0.000598
South San Jose Hills CDP,"9,000","8,600",500,5.20%,0.001768,0.002318
South Whittier CDP,"27,000","26,100",900,3.30%,0.005381,0.004328
Temple City city,"18,100","17,600",600,3.00%,N/A,N/A
Torrance city,"77,900","75,500","2,500",3.20%,N/A,N/A
Val Verde CDP,"1,600","1,500",100,7.00%,0.000299,0.000539
Valinda CDP,"12,500","11,900",600,5.00%,0.002444,0.003103
Vernon city,0,0,0,4.90%,0.000008,0.000012
View Park Windsor Hills CDP,"5,500","5,100",400,7.20%,0.001043,0.001944
Walnut city,"15,900","15,400",500,3.00%,N/A,N/A
Walnut Park CDP,"7,600","7,200",300,4.40%,0.001492,0.001634
West Athens CDP,"4,500","4,200",300,6.40%,0.000872,0.001432
West Carson CDP,"11,200","10,800",400,3.60%,0.002224,0.001973
West Covina city,"52,600","50,600","2,000",3.90%,N/A,N/A
West Hollywood city,"27,000","25,800","1,200",4.60%,N/A,N/A
West Puente Valley CDP,"11,200","10,600",600,5.30%,0.00218,0.002906
West Whittier Los Nietos CDP,"12,700","12,300",400,2.80%,0.00254,0.001722
Westlake Village city,"4,000","3,900",100,2.10%,0.000802,0.000413
Westmont CDP,"13,100","12,100",900,7.30%,0.002498,0.004675
Whittier city,"43,600","41,900","1,700",3.90%,N/A,N/A
Willowbrook CDP,"9,500","8,900",600,6.10%,0.001834,0.002837
